<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MGNT;D;15/11/22;000000;4983;5025;4735;4888;368161
MGNT;D;16/11/22;000000;4913;4970;4894.5;4945.5;130186
MGNT;D;17/11/22;000000;4948.5;5090;4936;5011.5;314102
MGNT;D;18/11/22;000000;5018.5;5024.5;4870;4918.5;283754
MGNT;D;21/11/22;000000;4910;4920;4809;4856;168577
MGNT;D;22/11/22;000000;4861;4911.5;4846;4869;90159
MGNT;D;23/11/22;000000;4871;4898;4826;4879.5;69894
MGNT;D;24/11/22;000000;4885;4942;4869;4893;101932
MGNT;D;25/11/22;000000;4893.5;4912;4830;4849;88984
MGNT;D;28/11/22;000000;4835;4875;4811;4844;84337
MGNT;D;29/11/22;000000;4863.5;4871.5;4766;4819;137682
MGNT;D;30/11/22;000000;4826;4828.5;4790;4827;51983
MGNT;D;01/12/22;000000;4835.5;4840;4751;4777;130411
MGNT;D;02/12/22;000000;4777;4777;4663;4667;364597
MGNT;D;05/12/22;000000;4669.5;4670;4552;4587;485622
MGNT;D;06/12/22;000000;4593;4597;4450.5;4475.5;739505
MGNT;D;07/12/22;000000;4476;4567.5;4440.5;4492.5;684884
MGNT;D;08/12/22;000000;4507.5;4508.5;4421;4464;312575
MGNT;D;09/12/22;000000;4462.5;4494;4431;4446;175946
MGNT;D;12/12/22;000000;4467;4563;4453;4560;458586
MGNT;D;13/12/22;000000;4570.5;4600;4470;4529.5;482763
MGNT;D;14/12/22;000000;4524;4525;4447;4454.5;278267
MGNT;D;15/12/22;000000;4452.5;4473.5;4353;4382.5;362554
MGNT;D;16/12/22;000000;4378.5;4429;4370;4386.5;169997
MGNT;D;19/12/22;000000;4370.5;4381;4257;4260;335143
MGNT;D;20/12/22;000000;4249.5;4350;4239;4326;358285
MGNT;D;21/12/22;000000;4333;4368.5;4271;4288.5;246666
MGNT;D;22/12/22;000000;4288.5;4350;4245;4347;226633
MGNT;D;23/12/22;000000;4355.5;4394;4296;4315.5;212596
MGNT;D;26/12/22;000000;4315;4445;4315;4442;259730
MGNT;D;27/12/22;000000;4451;4490;4423;4425.5;225482
MGNT;D;28/12/22;000000;4423;4486.5;4370;4414.5;225615
MGNT;D;29/12/22;000000;4410.5;4460;4395;4407.5;143035
MGNT;D;30/12/22;000000;4416;4419;4334;4340.5;253660
MGNT;D;03/01/23;000000;4360;4378;4340.5;4360.5;91966
MGNT;D;04/01/23;000000;4369;4383;4350.5;4369;66555
MGNT;D;05/01/23;000000;4370.5;4374.5;4308;4325.5;109980
MGNT;D;06/01/23;000000;4319;4329;4309;4319.5;45348
MGNT;D;09/01/23;000000;4324.5;4365;4320;4330;130121
MGNT;D;10/01/23;000000;4327.5;4378;4312.5;4372.5;142173
MGNT;D;11/01/23;000000;4378.5;4461;4361;4458;185914
MGNT;D;12/01/23;000000;4462.5;4664;4426;4638;818494
MGNT;D;13/01/23;000000;4639;4675;4610;4620;359522
MGNT;D;16/01/23;000000;4632.5;4688;4612;4674;279833
MGNT;D;17/01/23;000000;4678;4726.5;4590;4628;522627
MGNT;D;18/01/23;000000;4632.5;4658;4557;4575.5;242449
MGNT;D;19/01/23;000000;4577;4586;4465;4504.5;337836
MGNT;D;20/01/23;000000;4528;4577;4509;4575.5;198944
MGNT;D;23/01/23;000000;4582.5;4647.5;4581;4634.5;154791
MGNT;D;24/01/23;000000;4642;4676;4567;4586.5;208460
MGNT;D;25/01/23;000000;4587;4599;4560;4597;85392
MGNT;D;26/01/23;000000;4595;4637.5;4579.5;4602;97592
MGNT;D;27/01/23;000000;4609;4615;4582.5;4609;78948
MGNT;D;30/01/23;000000;4611.5;4663;4601.5;4653.5;140080
MGNT;D;31/01/23;000000;4656;4685;4651.5;4665;149290
MGNT;D;01/02/23;000000;4675.5;4676;4601;4647;159842
MGNT;D;02/02/23;000000;4648;4739;4619.5;4694;257608
MGNT;D;03/02/23;000000;4702;4707;4625;4665;148739
MGNT;D;06/02/23;000000;4674;4748.5;4664;4720;160629
MGNT;D;07/02/23;000000;4730;4774;4708.5;4757;156444
MGNT;D;08/02/23;000000;4766;4796;4500;4698;331035
MGNT;D;09/02/23;000000;4702;4739;4660;4696;119913
MGNT;D;10/02/23;000000;4690;4755;4665;4683.5;138874
MGNT;D;13/02/23;000000;4691.5;4710;4683.5;4689;72382
MGNT;D;14/02/23;000000;4687;4702.5;4605;4621;129861
MGNT;D;15/02/23;000000;4609.5;4619;4355.5;4432.5;283254
MGNT;D;16/02/23;000000;4465;4513.5;4382.5;4430;174322
MGNT;D;17/02/23;000000;4411.5;4465.5;4392;4447.5;86290
MGNT;D;20/02/23;000000;4448;4490;4405.5;4481.5;76301
MGNT;D;21/02/23;000000;4491;4590;4466;4566;133546
MGNT;D;22/02/23;000000;4569.5;4579;4508;4549.5;91645
MGNT;D;24/02/23;000000;4549.5;4596;4545;4559.5;60449
MGNT;D;27/02/23;000000;4537;4650;4512;4643;105737
MGNT;D;28/02/23;000000;4660.5;4677;4571.5;4594;155006
MGNT;D;01/03/23;000000;4604;4611.5;4527;4567;312679
MGNT;D;02/03/23;000000;4567;4568;4490.5;4524;144749
MGNT;D;03/03/23;000000;4521.5;4558.5;4512;4546.5;81957
MGNT;D;06/03/23;000000;4561;4574;4540.5;4559;89805
MGNT;D;07/03/23;000000;4559;4568.5;4520;4553;80678
MGNT;D;09/03/23;000000;4554.5;4588;4545.5;4551.5;91693
MGNT;D;10/03/23;000000;4540.5;4550;4495;4524;142291
MGNT;D;13/03/23;000000;4529;4554.5;4500;4527.5;95047
MGNT;D;14/03/23;000000;4527.5;4554.5;4515;4539.5;101797
MGNT;D;15/03/23;000000;4543.5;4570;4456;4500;155611
MGNT;D;16/03/23;000000;4511.5;4512;4455.5;4492;124163
MGNT;D;17/03/23;000000;4492.5;4522;4477;4504;109495
MGNT;D;20/03/23;000000;4509;4564;4485;4562.5;260310
MGNT;D;21/03/23;000000;4564;4596.5;4495;4518;224633
MGNT;D;22/03/23;000000;4520.5;4538;4502;4510;78624
MGNT;D;23/03/23;000000;4516;4528;4471.5;4491;136175
MGNT;D;24/03/23;000000;4490.5;4506;4477;4495;84586
MGNT;D;27/03/23;000000;4504;4542;4495;4516;233690
MGNT;D;28/03/23;000000;4526.5;4567;4502;4512.5;225086
MGNT;D;29/03/23;000000;4513;4555;4495;4527.5;244670
MGNT;D;30/03/23;000000;4528.5;4587.5;4522;4583;177612
MGNT;D;31/03/23;000000;4591;4700;4582;4610;656378
MGNT;D;03/04/23;000000;4634.5;4672;4550;4582;281753
MGNT;D;04/04/23;000000;4584;4624;4555;4565;212000
MGNT;D;05/04/23;000000;4577;4577;4512;4554;134549
MGNT;D;06/04/23;000000;4561;4586;4552.5;4571.5;106000
MGNT;D;07/04/23;000000;4572;4592;4562;4574;101656
MGNT;D;10/04/23;000000;4579;4628;4579;4624;145355
MGNT;D;11/04/23;000000;4626.5;4648.5;4539.5;4552.5;329281
MGNT;D;12/04/23;000000;4552.5;4590;4526.5;4576.5;170795
MGNT;D;13/04/23;000000;4579;4605;4530.5;4555;139203
