<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
LKOH;D;30/01/23;000000;3929;3954;3917;3947.5;319695
LKOH;D;31/01/23;000000;3947.5;3972.5;3925.5;3955;377214
LKOH;D;01/02/23;000000;3959.5;3989;3935;3955.5;354282
LKOH;D;02/02/23;000000;3955.5;3960;3900.5;3918.5;567575
LKOH;D;03/02/23;000000;3917.5;3920;3880;3907.5;550188
LKOH;D;06/02/23;000000;3910;3946.5;3902;3941;411987
LKOH;D;07/02/23;000000;3951;3977;3931;3968;388976
LKOH;D;08/02/23;000000;3978;3998.5;3903;3930.5;532879
LKOH;D;09/02/23;000000;3949;3960;3907.5;3914;294748
LKOH;D;10/02/23;000000;3915;3969.5;3903.5;3921.5;314135
LKOH;D;13/02/23;000000;3940;3948;3911;3928.5;280972
LKOH;D;14/02/23;000000;3930;3937;3905;3914.5;287305
LKOH;D;15/02/23;000000;3903;3906;3800;3829;699575
LKOH;D;16/02/23;000000;3840;3873.5;3811.5;3830;340246
LKOH;D;17/02/23;000000;3829;3860;3802.5;3840;249831
LKOH;D;20/02/23;000000;3846;3927.5;3804;3905;450825
LKOH;D;21/02/23;000000;3912;3950;3901.5;3914.5;373178
LKOH;D;22/02/23;000000;3915.5;3925;3873;3909.5;195478
LKOH;D;24/02/23;000000;3916;3925;3880;3901;123577
LKOH;D;27/02/23;000000;3884.5;3920;3881.5;3903;316428
LKOH;D;28/02/23;000000;3905.5;4021;3903;3990;1173447
LKOH;D;01/03/23;000000;4012;4060;3978;4056;826499
LKOH;D;02/03/23;000000;4056.5;4078;3966;4004;1011664
LKOH;D;03/03/23;000000;4003;4048;4001.5;4030.5;466591
LKOH;D;06/03/23;000000;4048;4129;4045.5;4111.5;764914
LKOH;D;07/03/23;000000;4115.5;4138;4090;4125;445473
LKOH;D;09/03/23;000000;4124.5;4136;4099;4105;368232
LKOH;D;10/03/23;000000;4088;4111;4035;4085;409316
LKOH;D;13/03/23;000000;4092.5;4120;4039;4066;457920
LKOH;D;14/03/23;000000;4059.5;4095;4044;4063;362937
LKOH;D;15/03/23;000000;4077;4079;4009;4022;539062
LKOH;D;16/03/23;000000;4013;4092;4011;4084;627095
LKOH;D;17/03/23;000000;4094.5;4140;4073;4111.5;921050
LKOH;D;20/03/23;000000;4126;4247.5;4090.5;4228.5;960037
LKOH;D;21/03/23;000000;4230.5;4287.5;4167.5;4216.5;885563
LKOH;D;22/03/23;000000;4215;4254;4184;4192.5;419319
LKOH;D;23/03/23;000000;4198;4215;4159;4177.5;373050
LKOH;D;24/03/23;000000;4179;4221;4158;4206.5;242163
LKOH;D;27/03/23;000000;4230;4343.5;4217;4322;586095
LKOH;D;28/03/23;000000;4332;4350.5;4271;4320;490009
LKOH;D;29/03/23;000000;4325;4360;4294;4342;421081
LKOH;D;30/03/23;000000;4349.5;4388.5;4320;4382.5;440052
LKOH;D;31/03/23;000000;4380;4389;4280.5;4352.5;674414
LKOH;D;03/04/23;000000;4491;4508.5;4422;4473.5;1115827
LKOH;D;04/04/23;000000;4490;4575.5;4476.5;4510.5;916823
LKOH;D;05/04/23;000000;4506;4545;4460;4540;557591
LKOH;D;06/04/23;000000;4543;4623.5;4475.5;4585;936992
LKOH;D;07/04/23;000000;4610.5;4638.5;4520;4637;640089
LKOH;D;10/04/23;000000;4636;4661;4620;4650.5;601426
LKOH;D;11/04/23;000000;4651;4689;4575;4620;897988
LKOH;D;12/04/23;000000;4666.5;4728.5;4630;4670;934788
LKOH;D;13/04/23;000000;4686;4686;4590;4612.5;902928
LKOH;D;14/04/23;000000;4612.5;4629;4553.5;4618;955355
LKOH;D;17/04/23;000000;4660;4670;4629.5;4640;661039
LKOH;D;18/04/23;000000;4649;4658;4583.5;4599.5;885244
LKOH;D;19/04/23;000000;4600;4609.5;4528;4539.5;1232304
LKOH;D;20/04/23;000000;4540;4794.5;4462;4746;3660077
LKOH;D;21/04/23;000000;4759.5;4776.5;4711;4729.5;852949
LKOH;D;24/04/23;000000;4728;4750;4692.5;4710.5;529665
LKOH;D;25/04/23;000000;4713;4720;4678;4689;391428
LKOH;D;26/04/23;000000;4695;4706;4627.5;4659;646371
LKOH;D;27/04/23;000000;4661;4710.5;4655;4700;510329
LKOH;D;28/04/23;000000;4708.5;4710;4641.5;4674.5;540156
LKOH;D;02/05/23;000000;4680;4705;4552;4581;856170
LKOH;D;03/05/23;000000;4580.5;4638;4491;4508.5;1106871
LKOH;D;04/05/23;000000;4522;4564.5;4512.5;4547.5;490588
LKOH;D;05/05/23;000000;4547.5;4557.5;4501.5;4509;433125
LKOH;D;08/05/23;000000;4525;4599.5;4517.5;4564.5;362489
LKOH;D;10/05/23;000000;4560;4716;4559;4716;1002893
LKOH;D;11/05/23;000000;4725;4849.5;4681;4788.5;2367149
LKOH;D;12/05/23;000000;4800.5;4842.5;4751;4819;971091
LKOH;D;15/05/23;000000;4840;5055;4838;5045.5;1869815
LKOH;D;16/05/23;000000;5065;5120;5020.5;5086;1482216
LKOH;D;17/05/23;000000;5094.5;5120;5060.5;5097;690693
LKOH;D;18/05/23;000000;5111;5120;5070;5075;663024
LKOH;D;19/05/23;000000;5070;5078.5;5013;5078.5;668952
LKOH;D;22/05/23;000000;5110.5;5116;5057;5090;465301
LKOH;D;23/05/23;000000;5094;5174;5065;5173;929688
LKOH;D;24/05/23;000000;5183;5215;5142;5192;951502
LKOH;D;25/05/23;000000;5197;5209;5160.5;5203.5;858188
LKOH;D;26/05/23;000000;5206;5298.5;5203;5296.5;977901
LKOH;D;29/05/23;000000;5341.5;5547.5;5332;5538.5;2208293
LKOH;D;30/05/23;000000;5515;5698.5;5461.5;5530;2575463
LKOH;D;31/05/23;000000;5562;5594;5505;5569;1113532
LKOH;D;01/06/23;000000;5570;5685;5540;5684;1757523
LKOH;D;02/06/23;000000;5304;5454;5302;5383;3158627
LKOH;D;05/06/23;000000;5401;5420;5155.5;5166.5;2086409
LKOH;D;06/06/23;000000;5149.5;5175.5;4962.5;5149.5;2192664
LKOH;D;07/06/23;000000;5163;5164;5073;5101;931379
LKOH;D;08/06/23;000000;5100.5;5111;5041;5065;738843
LKOH;D;09/06/23;000000;5082.5;5112.5;5070;5077;520710
LKOH;D;13/06/23;000000;5093;5265.5;5077;5264;1374037
LKOH;D;14/06/23;000000;5298.5;5324;5205.5;5246;918065
LKOH;D;15/06/23;000000;5251.5;5319.5;5226;5302.5;1055627
LKOH;D;16/06/23;000000;5309.5;5330;5243.5;5260.5;570111
LKOH;D;19/06/23;000000;5261.5;5297.5;5177;5194;771084
LKOH;D;20/06/23;000000;5190.5;5194;5081;5150.5;976876
LKOH;D;21/06/23;000000;5152.5;5166.5;5110;5125;644720
LKOH;D;22/06/23;000000;5130;5189;5103;5137;603024
LKOH;D;23/06/23;000000;5125.5;5145;5004;5030;1067154
LKOH;D;26/06/23;000000;5099.5;5114;4965;5048.5;1174443
LKOH;D;27/06/23;000000;5074;5158.5;5031;5138;923731
LKOH;D;28/06/23;000000;5149.5;5155;5082;5108;700255
LKOH;D;29/06/23;000000;5116;5150;5096;5124;740811
LKOH;D;30/06/23;000000;5127;5139;5063;5079;711187
LKOH;D;03/07/23;000000;5099;5123;5080;5095.5;637606
LKOH;D;04/07/23;000000;5106.5;5260;5082;5209;1467137
LKOH;D;05/07/23;000000;5226;5311;5221.5;5298.5;1207873
LKOH;D;06/07/23;000000;5319.5;5390;5304;5347;1403719
LKOH;D;07/07/23;000000;5361.5;5446.5;5326;5439.5;1298195
LKOH;D;10/07/23;000000;5471.5;5505.5;5404;5436;1091876
LKOH;D;11/07/23;000000;5440.5;5449.5;5366.5;5439;688962
LKOH;D;12/07/23;000000;5441;5535;5377.5;5500;1228622
LKOH;D;13/07/23;000000;5530.5;5549.5;5461;5498;719054
LKOH;D;14/07/23;000000;5487;5550;5450;5514;790875
LKOH;D;17/07/23;000000;5493.5;5535;5462.5;5503;765441
LKOH;D;18/07/23;000000;5514;5585;5481;5537.5;1149679
LKOH;D;19/07/23;000000;5544;5568;5495;5518;609703
LKOH;D;20/07/23;000000;5520;5520;5381;5394;863112
LKOH;D;21/07/23;000000;5410;5505;5397.5;5505;642507
LKOH;D;24/07/23;000000;5507.5;5554;5491;5545.5;624794
LKOH;D;25/07/23;000000;5555;5649.5;5532.5;5633.5;1220953
LKOH;D;26/07/23;000000;5636;5665.5;5591;5626;762508
LKOH;D;27/07/23;000000;5637.5;5678;5637.5;5668;632629
