<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MTLR;D;03/11/22;000000;98.38;98.98;97.02;98.9;1265457
MTLR;D;07/11/22;000000;99.51;104.01;99.29;103.85;3040239
MTLR;D;08/11/22;000000;103.9;104.43;101.5;102.42;1807901
MTLR;D;09/11/22;000000;102.42;103.3;100.2;100.2;1321606
MTLR;D;10/11/22;000000;99.99;102.01;99.15;101.8;1524526
MTLR;D;11/11/22;000000;102.51;103;99.9;100.12;1301862
MTLR;D;14/11/22;000000;100.31;103.66;99.7;102.3;1793664
MTLR;D;15/11/22;000000;102.79;106.74;100.77;105.8;3860442
MTLR;D;16/11/22;000000;104.2;106;103.13;104.56;2003163
MTLR;D;17/11/22;000000;104.53;107.64;100.72;101.72;5453817
MTLR;D;18/11/22;000000;101.89;103.75;101.2;102.81;2042167
MTLR;D;21/11/22;000000;102.85;102.97;98.42;99.82;2023023
MTLR;D;22/11/22;000000;100.01;102.07;99.26;101.06;1396539
MTLR;D;23/11/22;000000;101.33;102.46;100.32;101.59;978960
MTLR;D;24/11/22;000000;101.59;102.82;100.83;100.87;891494
MTLR;D;25/11/22;000000;100.91;101.13;100.1;100.41;551139
MTLR;D;28/11/22;000000;100.11;100.33;99.35;99.57;600004
MTLR;D;29/11/22;000000;99.77;100.77;99.5;100.04;841489
MTLR;D;30/11/22;000000;100.28;101.91;99.68;101.5;1497689
MTLR;D;01/12/22;000000;101.9;102.21;100.83;100.85;644606
MTLR;D;02/12/22;000000;101.17;101.21;99.8;100.13;488740
MTLR;D;05/12/22;000000;100.47;100.82;99.67;100.01;743768
MTLR;D;06/12/22;000000;100.38;102.81;100.01;101.42;3154122
MTLR;D;07/12/22;000000;101.42;101.42;100.3;100.9;767928
MTLR;D;08/12/22;000000;101;101.65;100.01;100.17;450716
MTLR;D;09/12/22;000000;100.09;101.1;100.01;100.9;502709
MTLR;D;12/12/22;000000;101.01;101.78;100.13;100.44;567148
MTLR;D;13/12/22;000000;100.62;101.81;100;100.66;1221259
MTLR;D;14/12/22;000000;100.66;100.74;97.67;98.31;1371345
MTLR;D;15/12/22;000000;97.88;97.88;95.12;97.34;1174943
MTLR;D;16/12/22;000000;96.78;97.68;96.12;97.44;549329
MTLR;D;19/12/22;000000;97.7;97.78;94.36;95.78;1177131
MTLR;D;20/12/22;000000;95.49;102.82;94.86;102.49;2753819
MTLR;D;21/12/22;000000;102.48;103.49;100.49;101.14;1838544
MTLR;D;22/12/22;000000;101.23;104.15;101.21;102.89;1804472
MTLR;D;23/12/22;000000;103;103.1;101.17;102.88;1403246
MTLR;D;26/12/22;000000;103.15;103.9;102.6;102.7;692044
MTLR;D;27/12/22;000000;103.14;103.59;101.71;101.92;765261
MTLR;D;28/12/22;000000;101.95;102.27;100.05;100.65;1302366
MTLR;D;29/12/22;000000;101.11;103.3;100.86;103.19;1197689
MTLR;D;30/12/22;000000;103.18;105.5;102.54;105.5;2073860
MTLR;D;03/01/23;000000;105.75;109.29;104.05;108.24;1926936
MTLR;D;04/01/23;000000;108.52;109.28;106.2;109.18;1463370
MTLR;D;05/01/23;000000;109.48;111;107.6;108.28;1502967
MTLR;D;06/01/23;000000;108.5;110.5;105.99;105.99;3282782
MTLR;D;09/01/23;000000;106.4;107.49;105.2;105.95;1464982
MTLR;D;10/01/23;000000;105.92;105.94;104.22;105.05;1000172
MTLR;D;11/01/23;000000;105.08;107;105.05;106.18;1039849
MTLR;D;12/01/23;000000;106.55;107.75;106.1;106.73;1220418
MTLR;D;13/01/23;000000;106.75;108.3;106.54;107.09;943186
MTLR;D;16/01/23;000000;107.15;108.2;106.7;107.64;1234117
MTLR;D;17/01/23;000000;107.85;108.64;106.2;107;1766947
MTLR;D;18/01/23;000000;107.45;107.46;106.1;106.5;942415
MTLR;D;19/01/23;000000;106.5;106.5;102.34;104.24;2250321
